team_id,team,player,goals,years,opponents,data_version
ghana,Ghana,André Ayew,3,"2014, 2022","Germany, Portugal, USA",wc26-20260613T125755z
croatia,Croatia,Andrej Kramarić,3,"2018, 2022","Canada, Russia",wc26-20260613T125755z
spain,Spain,Álvaro Morata,3,2022,"Costa Rica, Germany, Japan",wc26-20260613T125755z
sweden,Sweden,Wetterström,3,1938,Cuba,wc26-20260613T125755z
sweden,Sweden,Sundqvist,3,1950,"Paraguay, Spain, Uruguay",wc26-20260613T125755z
uruguay,Uruguay,Schiaffino,3,1950,"Bolivia, Brazil",wc26-20260613T125755z
brazil,Brazil,Romeu,3,1938,"Italy, Poland, Sweden",wc26-20260613T125755z
brazil,Brazil,Richarlison,3,2022,"Serbia, South Korea",wc26-20260613T125755z
brazil,Brazil,Preguinho,3,1930,"Bolivia, Yugoslavia",wc26-20260613T125755z
argentina,Argentina,Peucelle,3,1930,"USA, Uruguay",wc26-20260613T125755z
brazil,Brazil,Perácio,3,1938,"Poland, Sweden",wc26-20260613T125755z
sweden,Sweden,Palmér,3,1950,"Paraguay, Spain, Uruguay",wc26-20260613T125755z
italy,Italy,Orsi,3,1934,"Czech Republic, USA",wc26-20260613T125755z
sweden,Sweden,Nyberg,3,1938,"Brazil, Cuba, Hungary",wc26-20260613T125755z
switzerland,Switzerland,Kielholz,3,1934,"Czech Republic, Netherlands",wc26-20260613T125755z
france,France,Karim Benzema,3,2014,"Honduras, Switzerland",wc26-20260613T125755z
sweden,Sweden,H. Andersson,3,1938,Cuba,wc26-20260613T125755z
portugal,Portugal,Gonçalo Ramos,3,2022,Switzerland,wc26-20260613T125755z
netherlands,Netherlands,Cody Gakpo,3,2022,"Ecuador, Qatar, Senegal",wc26-20260613T125755z
russia,Russia,Cheryshev,3,2018,"Egypt, Saudi Arabia",wc26-20260613T125755z
england,England,Bukayo Saka,3,2022,"Iran, Senegal",wc26-20260613T125755z
yugoslavia,Yugoslavia,Bek,3,1930,"Bolivia, Brazil",wc26-20260613T125755z
netherlands,Netherlands,Arjen Robben,3,2014,"Australia, Spain",wc26-20260613T125755z
uruguay,Uruguay,Anselmo,3,1930,"Romania, Yugoslavia",wc26-20260613T125755z
argentina,Argentina,Ángel Di María,2,"2018, 2022",France,wc26-20260613T125755z
tunisia,Tunisia,Wahbi Khazri,2,"2018, 2022","France, Panama",wc26-20260613T125755z
brazil,Brazil,Thiago Silva,2,"2014, 2018","Colombia, Serbia",wc26-20260613T125755z
portugal,Portugal,Pepe,2,"2018, 2022","Switzerland, Uruguay",wc26-20260613T125755z
belgium,Belgium,Marouane Fellaini,2,"2014, 2018","Algeria, Japan",wc26-20260613T125755z
argentina,Argentina,Marcos Rojo,2,"2014, 2018",Nigeria,wc26-20260613T125755z
south-korea,South Korea,Kim Young-gwon,2,"2018, 2022","Germany, Portugal",wc26-20260613T125755z
belgium,Belgium,Kevin De Bruyne,2,"2014, 2018","Brazil, USA",wc26-20260613T125755z
belgium,Belgium,Jan Vertonghen,2,"2014, 2018","Japan, South Korea",wc26-20260613T125755z
netherlands,Netherlands,Daley Blind,2,"2014, 2022","Brazil, USA",wc26-20260613T125755z
portugal,Portugal,Cristiano Ronaldo,2,"2014, 2022",Ghana,wc26-20260613T125755z
yugoslavia,Yugoslavia,Ž. Čajkovski,2,1950,Mexico,wc26-20260613T125755z
argentina,Argentina,Zumelzú,2,1930,Mexico,wc26-20260613T125755z
brazil,Brazil,Zizinho,2,1950,"Spain, Yugoslavia",wc26-20260613T125755z
france,France,Zidane,2,2006,"Italy, Portugal",wc26-20260613T125755z
morocco,Morocco,Youssef En-Nesyri,2,2022,"Canada, Portugal",wc26-20260613T125755z
colombia,Colombia,Y. Mina,2,2018,"Poland, Senegal",wc26-20260613T125755z
netherlands,Netherlands,Wout Werghost,2,2022,Argentina,wc26-20260613T125755z
ivory-coast,Ivory Coast,Wilfried Bony,2,2014,"Greece, Japan",wc26-20260613T125755z
yugoslavia,Yugoslavia,Vujadinović,2,1930,"Bolivia, Uruguay",wc26-20260613T125755z
belgium,Belgium,Voorhoof,2,1934,Germany,wc26-20260613T125755z
cameroon,Cameroon,Vincent Aboubakar,2,2022,"Brazil, Serbia",wc26-20260613T125755z
chile,Chile,Vidal,2,1930,Mexico,wc26-20260613T125755z
germany,Germany,Toni Kroos,2,2014,Brazil,wc26-20260613T125755z
yugoslavia,Yugoslavia,Tomašević,2,1950,"Mexico, Switzerland",wc26-20260613T125755z
hungary,Hungary,Titkos,2,1938,"Italy, Sweden",wc26-20260613T125755z
chile,Chile,Subiabre,2,1930,"Argentina, France",wc26-20260613T125755z
england,England,Stones,2,2018,Panama,wc26-20260613T125755z
south-korea,South Korea,Son Heung-min,2,2018,"Germany, Mexico",wc26-20260613T125755z
cuba,Cuba,Socorro,2,1938,Romania,wc26-20260613T125755z
germany,Germany,Schweinsteiger,2,2006,Portugal,wc26-20260613T125755z
italy,Italy,Schillaci,2,1990,"Argentina, England",wc26-20260613T125755z
poland,Poland,Robert Lewandowski,2,2022,"France, Saudi Arabia",wc26-20260613T125755z
england,England,Rashford,2,2022,Wales,wc26-20260613T125755z
portugal,Portugal,Rafael Leão,2,2022,"Ghana, Switzerland",wc26-20260613T125755z
belgium,Belgium,R. Lukaku,2,2018,Tunisia,wc26-20260613T125755z
czech-republic,Czech Republic,Puč,2,1934,"Italy, Romania",wc26-20260613T125755z
croatia,Croatia,Perišić,2,2018,"France, Iceland",wc26-20260613T125755z
brazil,Brazil,Oscar,2,2014,"Croatia, Germany",wc26-20260613T125755z
germany,Germany,Niclas Füllkrug,2,2022,"Costa Rica, Spain",wc26-20260613T125755z
nigeria,Nigeria,Musa,2,2018,Iceland,wc26-20260613T125755z
argentina,Argentina,Monti,2,1930,"France, USA",wc26-20260613T125755z
ghana,Ghana,Mohammed Kudus,2,2022,South Korea,wc26-20260613T125755z
croatia,Croatia,Modrić,2,2018,"Argentina, Nigeria",wc26-20260613T125755z
brazil,Brazil,Moderato,2,1930,Bolivia,wc26-20260613T125755z
germany,Germany,Miroslav Klose,2,2014,"Brazil, Ghana",wc26-20260613T125755z
iran,Iran,Mehdi Taremi,2,2022,England,wc26-20260613T125755z
germany,Germany,Mats Hummels,2,2014,"France, Portugal",wc26-20260613T125755z
france,France,Maschinot,2,1930,Mexico,wc26-20260613T125755z
germany,Germany,Mario Götze,2,2014,"Argentina, Ghana",wc26-20260613T125755z
egypt,Egypt,M. Salah,2,2018,"Russia, Saudi Arabia",wc26-20260613T125755z
mexico,Mexico,M. Rosas,2,1930,Argentina,wc26-20260613T125755z
belgium,Belgium,Lukaku,2,2018,Panama,wc26-20260613T125755z
uruguay,Uruguay,Luis Suárez,2,2014,England,wc26-20260613T125755z
germany,Germany,Lehner,2,1934,Austria,wc26-20260613T125755z
uruguay,Uruguay,L. Suárez,2,2018,"Russia, Saudi Arabia",wc26-20260613T125755z
germany,Germany,Kai Lukas Havertz,2,2022,Costa Rica,wc26-20260613T125755z
sweden,Sweden,Jeppson,2,1950,Italy,wc26-20260613T125755z
australia,Australia,Jedinak,2,2018,"Denmark, France",wc26-20260613T125755z
brazil,Brazil,Jair,2,1950,"Mexico, Spain",wc26-20260613T125755z
colombia,Colombia,Jackson Martínez,2,2014,Japan,wc26-20260613T125755z
algeria,Algeria,Islam Slimani,2,2014,"Russia, South Korea",wc26-20260613T125755z
uruguay,Uruguay,Iriarte,2,1930,"Argentina, Yugoslavia",wc26-20260613T125755z
spain,Spain,Iraragorri,2,1934,Brazil,wc26-20260613T125755z
spain,Spain,Igoa,2,1950,"Brazil, USA",wc26-20260613T125755z
austria,Austria,Horvath,2,1934,"Germany, Hungary",wc26-20260613T125755z
germany,Germany,Hohmann,2,1934,Sweden,wc26-20260613T125755z
france,France,Griezmann,2,2018,"Australia, Croatia",wc26-20260613T125755z
sweden,Sweden,Granqvist,2,2018,"Mexico, South Korea",wc26-20260613T125755z
uruguay,Uruguay,Giorgian De Arrascaeta,2,2022,Ghana,wc26-20260613T125755z
ivory-coast,Ivory Coast,Gervinho,2,2014,"Colombia, Japan",wc26-20260613T125755z
italy,Italy,Ferrari,2,1934,"Spain, USA",wc26-20260613T125755z
spain,Spain,Ferran Torres,2,2022,Costa Rica,wc26-20260613T125755z
egypt,Egypt,Fawzi,2,1934,Hungary,wc26-20260613T125755z
switzerland,Switzerland,Fatton,2,1950,Brazil,wc26-20260613T125755z
belgium,Belgium,E. Hazard,2,2018,Tunisia,wc26-20260613T125755z
russia,Russia,Dzyuba,2,2018,"Egypt, Saudi Arabia",wc26-20260613T125755z
uruguay,Uruguay,Dorado,2,1930,"Argentina, Romania",wc26-20260613T125755z
brazil,Brazil,David Luiz,2,2014,"Chile, Colombia",wc26-20260613T125755z
chile,Chile,Cremaschi,2,1950,USA,wc26-20260613T125755z
spain,Spain,Costa,2,2018,Portugal,wc26-20260613T125755z
usa,USA,Clint Dempsey,2,2014,"Ghana, Portugal",wc26-20260613T125755z
south-korea,South Korea,Cho Gue-sung,2,2022,Ghana,wc26-20260613T125755z
uruguay,Uruguay,Castro,2,1930,"Argentina, Peru",wc26-20260613T125755z
italy,Italy,Carapellese,2,1950,"Paraguay, Sweden",wc26-20260613T125755z
costa-rica,Costa Rica,Bryan Ruiz,2,2014,"Greece, Italy",wc26-20260613T125755z
portugal,Portugal,Bruno Fernandes,2,2022,Uruguay,wc26-20260613T125755z
germany,Germany,Brehme,2,1990,"Argentina, England",wc26-20260613T125755z
switzerland,Switzerland,Breel Embolo,2,2022,"Cameroon, Serbia",wc26-20260613T125755z
brazil,Brazil,Baltazar,2,1950,"Mexico, Switzerland",wc26-20260613T125755z
ghana,Ghana,Asamoah Gyan,2,2014,"Germany, Portugal",wc26-20260613T125755z
france,France,Antoine Griezmann,2,2018,"Argentina, Uruguay",wc26-20260613T125755z
germany,Germany,Andre Schürrle,2,2014,Brazil,wc26-20260613T125755z
sweden,Sweden,Andersson,2,1950,"Brazil, Italy",wc26-20260613T125755z
chile,Chile,Alexis Sánchez,2,2014,"Australia, Brazil",wc26-20260613T125755z
serbia,Serbia,Aleksandar Mitrović,2,2022,"Cameroon, Switzerland",wc26-20260613T125755z
nigeria,Nigeria,Ahmed Musa,2,2014,Argentina,wc26-20260613T125755z
algeria,Algeria,Abdelmoumene Djabou,2,2014,"Germany, South Korea",wc26-20260613T125755z
argentina,Argentina,Ángel di María,1,2014,Switzerland,wc26-20260613T125755z
sweden,Sweden,Álvarez,1,2018,Mexico,wc26-20260613T125755z
switzerland,Switzerland,Zuber,1,2018,Brazil,wc26-20260613T125755z
austria,Austria,Zischek,1,1934,Hungary,wc26-20260613T125755z
czech-republic,Czech Republic,Zeman,1,1938,Netherlands,wc26-20260613T125755z
morocco,Morocco,Zakaria Aboukhlal,1,2022,Belgium,wc26-20260613T125755z
colombia,Colombia,Yerry Mina,1,2018,England,wc26-20260613T125755z
costa-rica,Costa Rica,Yeltsin Tejeda,1,2022,Germany,wc26-20260613T125755z
panama,Panama,Yassine Meriah,1,2018,Tunisia,wc26-20260613T125755z
algeria,Algeria,Yacine Brahimi,1,2014,South Korea,wc26-20260613T125755z
switzerland,Switzerland,Xhaka,1,2018,Serbia,wc26-20260613T125755z
spain,Spain,Xabi Alonso,1,2014,Netherlands,wc26-20260613T125755z
netherlands,Netherlands,Wesley Sneijder,1,2014,Mexico,wc26-20260613T125755z
england,England,Wayne Rooney,1,2014,Uruguay,wc26-20260613T125755z
costa-rica,Costa Rica,Waston,1,2018,Switzerland,wc26-20260613T125755z
usa,USA,Wallace,1,1950,Chile,wc26-20260613T125755z
switzerland,Switzerland,Walaschek,1,1938,Germany,wc26-20260613T125755z
brazil,Brazil,Vinícius Jr.,1,2022,South Korea,wc26-20260613T125755z
hungary,Hungary,Vincze,1,1934,Egypt,wc26-20260613T125755z
uruguay,Uruguay,Vidal,1,1950,Bolivia,wc26-20260613T125755z
france,France,Verriest,1,1934,Austria,wc26-20260613T125755z
netherlands,Netherlands,Vente,1,1934,Switzerland,wc26-20260613T125755z
france,France,Veinante,1,1938,Belgium,wc26-20260613T125755z
bosnia-and-herzegovina,Bosnia & Herzegovina,Vedad Ibišević,1,2014,Argentina,wc26-20260613T125755z
paraguay,Paraguay,Vargas Peña,1,1930,Belgium,wc26-20260613T125755z
uruguay,Uruguay,Varela,1,1950,Spain,wc26-20260613T125755z
portugal,Portugal,Varela,1,2014,USA,wc26-20260613T125755z
argentina,Argentina,Varallo,1,1930,Mexico,wc26-20260613T125755z
cuba,Cuba,Tuñas,1,1938,Romania,wc26-20260613T125755z
sweden,Sweden,Toivonen,1,2018,Germany,wc26-20260613T125755z
yugoslavia,Yugoslavia,Tirnanić,1,1930,Brazil,wc26-20260613T125755z
usa,USA,Timothy Weah,1,2022,Wales,wc26-20260613T125755z
australia,Australia,Tim Cahill,1,2014,Netherlands,wc26-20260613T125755z
france,France,Théo Hernandez,1,2022,Morocco,wc26-20260613T125755z
belgium,Belgium,Thomas Meunier,1,2018,England,wc26-20260613T125755z
colombia,Colombia,Teofilo Gutiérrez,1,2014,Greece,wc26-20260613T125755z
hungary,Hungary,Teleki,1,1934,Egypt,wc26-20260613T125755z
japan,Japan,Takuma Asano,1,2022,Germany,wc26-20260613T125755z
japan,Japan,Takashi Inui,1,2018,Belgium,wc26-20260613T125755z
czech-republic,Czech Republic,Svoboda,1,1934,Switzerland,wc26-20260613T125755z
serbia,Serbia,Strahinja Pavlović,1,2022,Cameroon,wc26-20260613T125755z
netherlands,Netherlands,Stefan De Vrij,1,2014,Spain,wc26-20260613T125755z
romania,Romania,Stanciu,1,1930,Peru,wc26-20260613T125755z
peru,Peru,Souza Ferreira,1,1930,Romania,wc26-20260613T125755z
south-korea,South Korea,Son Heung Min,1,2014,Algeria,wc26-20260613T125755z
costa-rica,Costa Rica,Sommer,1,2018,Switzerland,wc26-20260613T125755z
algeria,Algeria,Sofiane Feghouli,1,2014,Belgium,wc26-20260613T125755z
greece,Greece,Socratis Papastathopoulos,1,2014,Costa Rica,wc26-20260613T125755z
czech-republic,Czech Republic,Sobotka,1,1934,Switzerland,wc26-20260613T125755z
netherlands,Netherlands,Smit,1,1934,Switzerland,wc26-20260613T125755z
austria,Austria,Sindelar,1,1934,France,wc26-20260613T125755z
germany,Germany,Siffling,1,1934,Belgium,wc26-20260613T125755z
japan,Japan,Shinji Okazaki,1,2014,Colombia,wc26-20260613T125755z
switzerland,Switzerland,Shaqiri,1,2018,Serbia,wc26-20260613T125755z
austria,Austria,Sesta,1,1934,Germany,wc26-20260613T125755z
argentina,Argentina,Sergio Agüero,1,2018,France,wc26-20260613T125755z
serbia,Serbia,Sergej Milinković-Savić,1,2022,Cameroon,wc26-20260613T125755z
spain,Spain,Sergei Ignashevich,1,2018,Russia,wc26-20260613T125755z
germany,Germany,Serge Gnabry,1,2022,Costa Rica,wc26-20260613T125755z
argentina,Argentina,Sead Kolašinac,1,2014,Bosnia & Herzegovina,wc26-20260613T125755z
argentina,Argentina,Scopelli,1,1930,USA,wc26-20260613T125755z
poland,Poland,Scherfke,1,1938,Brazil,wc26-20260613T125755z
austria,Austria,Schall,1,1934,France,wc26-20260613T125755z
uruguay,Uruguay,Scarone,1,1930,Romania,wc26-20260613T125755z
tunisia,Tunisia,Sassi,1,2018,England,wc26-20260613T125755z
france,France,Samuel Umtiti,1,2018,Belgium,wc26-20260613T125755z
germany,Germany,Sami Khedira,1,2014,Brazil,wc26-20260613T125755z
saudi-arabia,Saudi Arabia,Salman Al-Faraj,1,2018,Egypt,wc26-20260613T125755z
saudi-arabia,Saudi Arabia,Salem Al-Dawsari,1,2018,Egypt,wc26-20260613T125755z
saudi-arabia,Saudi Arabia,Salem Al Dawsari,1,2022,Argentina,wc26-20260613T125755z
saudi-arabia,Saudi Arabia,Salem Al Dawasari,1,2022,Mexico,wc26-20260613T125755z
saudi-arabia,Saudi Arabia,Saleh Al Shehri,1,2022,Argentina,wc26-20260613T125755z
iran,Iran,Roozbeh Cheshmi,1,2022,Wales,wc26-20260613T125755z
belgium,Belgium,Romelu Lukaku,1,2014,USA,wc26-20260613T125755z
morocco,Morocco,Romain Saïss,1,2022,Belgium,wc26-20260613T125755z
colombia,Colombia,Rodríguez,1,2014,Brazil,wc26-20260613T125755z
chile,Chile,Robledo,1,1950,USA,wc26-20260613T125755z
brazil,Brazil,Roberto Firmino,1,2018,Mexico,wc26-20260613T125755z
brazil,Brazil,Roberto,1,1938,Czech Republic,wc26-20260613T125755z
japan,Japan,Ritsu Dōan,1,2022,Spain,wc26-20260613T125755z
japan,Japan,Ritsu Doan,1,2022,Germany,wc26-20260613T125755z
chile,Chile,Riera,1,1950,USA,wc26-20260613T125755z
portugal,Portugal,Ricardo Horta,1,2022,South Korea,wc26-20260613T125755z
iran,Iran,Reza Ghoochannejhad,1,2014,Bosnia & Herzegovina,wc26-20260613T125755z
germany,Germany,Reus,1,2018,Sweden,wc26-20260613T125755z
brazil,Brazil,Renato Augusto,1,2018,Belgium,wc26-20260613T125755z
